pool_ID;genus;subgenus;species;stage;sex;N_pool;date_collected;location;results_YFV
C1921;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/02/2022;DUCKE;negative 
C1947;Haemagogus;Haemagogus;janthinomys;adult;female ;6;08/02/2022;DUCKE;negative 
C1950;Haemagogus;Haemagogus;baresi;adult;female ;1;08/02/2022;DUCKE;negative 
C1958;Haemagogus;Haemagogus;baresi;adult;female ;1;08/02/2022;DUCKE;negative 
C1960;Haemagogus;Haemagogus;janthinomys;adult;female ;2;08/02/2022;DUCKE;negative 
C1966;Haemagogus;Haemagogus;janthinomys;adult;female ;4;08/02/2022;DUCKE;negative 
C1977;Haemagogus;Haemagogus;janthinomys;adult;female ;4;08/02/2022;DUCKE;negative 
C1992;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/02/2022;DUCKE;negative 
C1998;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/02/2022;DUCKE;negative 
C2024;Haemagogus;Haemagogus;janthinomys;adult;female ;4;16/02/2022;DUCKE;negative 
C2029;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/02/2022;DUCKE;negative 
C2040;Haemagogus;Haemagogus;janthinomys;adult;female ;2;16/02/2022;DUCKE;negative 
C2062;Haemagogus;Haemagogus;janthinomys;adult;female ;3;22/02/2022;DUCKE;negative 
C2086;Haemagogus;Haemagogus;janthinomys;adult;female ;1;23/02/2022;DUCKE;negative 
C2223;Haemagogus;Haemagogus;janthinomys;adult;female ;1;08/03/2022;DUCKE;negative 
C2273;Haemagogus;Haemagogus;baresi;adult;female ;1;10/03/2022;DUCKE;negative 
C2281;Haemagogus;Haemagogus;janthinomys;adult;female ;3;10/03/2022;DUCKE;negative 
C2288;Haemagogus;Haemagogus;janthinomys;adult;female ;5;10/03/2022;DUCKE;negative 
C2342;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/03/2022;DUCKE;negative 
C2348;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/03/2022;DUCKE;negative 
C2357;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/03/2022;DUCKE;negative 
C2372;Haemagogus;Haemagogus;janthinomys;adult;female ;1;16/03/2022;DUCKE;negative 
C2393;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/03/2022;DUCKE;negative 
C2402;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;17/03/2022;DUCKE;negative 
C2409;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/03/2022;DUCKE;negative 
C2431;Haemagogus;Haemagogus;janthinomys;adult;female ;1;23/03/2022;DUCKE;negative 
C2446;Haemagogus;Haemagogus;janthinomys;adult;female ;4;23/03/2022;DUCKE;negative 
C2462;Haemagogus;Haemagogus;baresi;adult;female ;1;23/03/2022;DUCKE;negative 
C2473;Haemagogus;Haemagogus;janthinomys;adult;female ;1;23/03/2022;DUCKE;negative 
C2526;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/03/2022;DUCKE;negative 
C2618;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;07/04/2022;DUCKE;negative 
C2628;Haemagogus;Haemagogus;janthinomys;adult;female ;1;07/04/2022;DUCKE;negative 
C2645;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;07/04/2022;DUCKE;negative 
C2662;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/04/2022;DUCKE;negative 
C2674;Haemagogus;Haemagogus;baresi;adult;female ;2;11/04/2022;DUCKE;negative 
C2683;Haemagogus;Haemagogus;janthinomys;adult;female ;2;11/04/2022;DUCKE;negative 
C2693;Haemagogus;Haemagogus;janthinomys;adult;female ;5;12/04/2022;DUCKE;negative 
C2697;Haemagogus;Haemagogus;janthinomys;adult;female ;1;12/04/2022;DUCKE;negative 
C2703;Haemagogus;Haemagogus;janthinomys;adult;female ;1;12/04/2022;DUCKE;negative 
C2728;Haemagogus;Haemagogus;janthinomys;adult;female ;1;12/04/2022;DUCKE;negative 
C2761;Haemagogus;Haemagogus;janthinomys;adult;female ;3;18/04/2022;DUCKE;negative 
C2769;Haemagogus;Haemagogus;janthinomys;adult;female ;2;18/04/2022;DUCKE;negative 
C2781;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/04/2022;DUCKE;negative 
C2791;Haemagogus;Haemagogus;janthinomys;adult;female ;1;18/04/2022;DUCKE;negative 
C2831;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/04/2022;DUCKE;negative 
C2897;Haemagogus;Haemagogus;baresi;adult;female ;2;28/04/2022;DUCKE;negative 
C2959;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;04/05/2022;DUCKE;negative 
C2979;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/05/2022;DUCKE;negative 
C2985;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;04/05/2022;DUCKE;negative 
C2993;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/05/2022;DUCKE;negative 
C3022;Haemagogus;Haemagogus;baresi;adult;female ;1;05/05/2022;DUCKE;negative 
C3071;Haemagogus;Haemagogus;janthinomys;adult;female ;10;12/05/2022;DUCKE;negative 
C3075;Haemagogus;Haemagogus;janthinomys;adult;female ;2;12/05/2022;DUCKE;negative 
C3082;Haemagogus;Haemagogus;janthinomys;adult;female ;7;12/05/2022;DUCKE;negative 
C3086;Haemagogus;Haemagogus;janthinomys;adult;female ;3;12/05/2022;DUCKE;negative 
C3092;Haemagogus;Haemagogus;janthinomys;adult;female ;3;12/05/2022;DUCKE;negative 
C3101;Haemagogus;Haemagogus;janthinomys;adult;female ;5;12/05/2022;DUCKE;negative 
C3108;Haemagogus;Haemagogus;janthinomys;adult;female ;5;12/05/2022;DUCKE;negative 
C3110;Haemagogus;Haemagogus;sp.;adult;female ;1;12/05/2022;DUCKE;negative 
C3115;Haemagogus;Haemagogus;janthinomys;adult;female ;3;12/05/2022;DUCKE;negative 
C3119;Haemagogus;Haemagogus;janthinomys;adult;female ;1;12/05/2022;DUCKE;negative 
C3131;Haemagogus;Haemagogus;janthinomys;adult;female ;2;12/05/2022;DUCKE;negative 
C3174;Haemagogus;Haemagogus;janthinomys;adult;female ;1;17/05/2022;DUCKE;negative 
C3265;Haemagogus;Haemagogus;janthinomys;adult;female ;1;24/05/2022;DUCKE;negative 
C3277;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;24/05/2022;DUCKE;negative 
C3299;Haemagogus;Haemagogus;janthinomys;adult;female ;1;25/05/2022;DUCKE;negative 
C3307;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2022;DUCKE;negative 
C3312;Haemagogus;Haemagogus;janthinomys;adult;female ;1;25/05/2022;DUCKE;negative 
C3325;Haemagogus;Haemagogus;janthinomys;adult;female ;1;25/05/2022;DUCKE;negative 
C3340;Haemagogus;Haemagogus;janthinomys;adult;female ;1;26/05/2022;DUCKE;negative 
C3350;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;26/05/2022;DUCKE;negative 
C3354;Haemagogus;Haemagogus;baresi;adult;female ;1;26/05/2022;DUCKE;positive 
C3357;Haemagogus;Haemagogus;janthinomys;adult;female ;1;26/05/2022;DUCKE;negative 
C3376;Haemagogus;Haemagogus;janthinomys;adult;female ;1;26/05/2022;DUCKE;negative 
C3391;Haemagogus;Haemagogus;janthinomys;adult;female ;1;31/05/2022;DUCKE;negative 
C3466;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/06/2022;DUCKE;negative 
C3478;Haemagogus;Haemagogus;janthinomys;adult;female ;1;14/06/2022;DUCKE;negative 
C3487;Haemagogus;Haemagogus;baresi ;adult;female ;1;14/06/2022;DUCKE;negative 
C3518;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/06/2022;DUCKE;negative 
C3534;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/06/2022;DUCKE;positive 
C3551;Haemagogus;Haemagogus;janthinomys;adult;female ;1;15/06/2022;DUCKE;positive 
C3583;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2022;DUCKE;negative 
C3599;Haemagogus;Haemagogus;janthinomys;adult;female ;1;21/06/2022;DUCKE;negative 
C3612;Haemagogus;Haemagogus;janthinomys;adult;female ;1;22/06/2022;DUCKE;negative 
C3615;Haemagogus;Haemagogus;janthinomys;adult;female ;2;22/06/2022;DUCKE;negative 
C3616;Haemagogus;Haemagogus;janthinomys;adult;female ;1;22/06/2022;DUCKE;negative 
C3636;Haemagogus;Haemagogus;janthinomys;adult;female ;1;23/06/2022;DUCKE;negative 
C3645;Haemagogus;Haemagogus;janthinomys;adult;female ;1;23/06/2022;DUCKE;negative 
C3674;Haemagogus;Haemagogus;janthinomys;adult;female ;2;30/06/2022;DUCKE;negative 
C3679;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/06/2022;DUCKE;negative 
C3684;Haemagogus;Haemagogus;janthinomys;adult;female ;1;30/06/2022;DUCKE;negative 
